"","(Intercept)","activity","diet","rank","schooling","Size.FishBase","Status","water_level","df","logLik","AICc","delta","weight"
"28",1.20689931574712,"+","+",NA,"+",-0.01830997272807,NA,NA,15,-139.441865134481,314.959679636051,23.589698729517,1.81338933652787e-06
"80",-0.0326542007232698,"+","+",0.00860548284772728,"+",NA,NA,"+",16,-138.024256214115,315.022871402588,23.6528904960542,1.75698939366239e-06
"31",0.663011686611393,NA,"+",0.0105700901987954,"+",-0.0209917863016604,NA,NA,14,-141.018533905266,315.287067810533,23.9170869039992,1.53957063420975e-06
"112",0.19753607796466,"+","+",0.00889890349127066,"+",NA,"+","+",17,-136.834377882357,315.616807712766,24.2468268062325,1.30556202358853e-06
"48",0.707108113339711,"+","+",0.0101780974569155,"+",NA,"+",NA,16,-138.340447542664,315.655254059687,24.2852731531537,1.28070466248551e-06
"56",1.1828372837198,"+","+",0.0102434926240172,NA,-0.0200065254461448,"+",NA,13,-142.588661169666,315.671149499826,24.3011685932922,1.27056632204928e-06
"95",0.263397006685015,NA,"+",0.00955308255073544,"+",-0.0194196335889093,NA,"+",15,-140.460816446529,316.997582260146,25.6276013536123,6.54585115026651e-07
"124",0.610548622408271,"+","+",NA,"+",-0.0122769106728298,"+","+",17,-137.638751445607,317.225554839266,25.8555739327322,5.84066784442463e-07
"60",1.24257160323944,"+","+",NA,"+",-0.0160111855186135,"+",NA,16,-139.348312929802,317.670984833963,26.3010039274292,4.67453713777001e-07
"120",1.15343070317537,"+","+",0.00953776290131826,NA,-0.0184385973692004,"+","+",14,-142.285131927724,317.820263855449,26.4502829489148,4.3383350224819e-07
"63",0.677467108011575,NA,"+",0.0105395285691421,"+",-0.0189951840038405,"+",NA,15,-140.971845380654,318.019640128397,26.6496592218637,3.92671226771535e-07
"32",0.940690728898369,"+","+",0.0110625686421754,"+",-0.0206906522840318,NA,NA,16,-140.05670086982,319.087760713999,27.7177798074652,2.3019168982819e-07
"127",0.260134336942172,NA,"+",0.00949568692821463,"+",-0.0170753029464587,"+","+",16,-140.372298522257,319.718956018874,28.3489751123402,1.67890963751761e-07
"96",0.565961460574088,"+","+",0.0100767674154203,"+",-0.018913709429647,NA,"+",17,-139.341351291205,320.630754530462,29.2607736239286,1.06422336843435e-07
"64",0.99752858781366,"+","+",0.0111192464815981,"+",-0.0185345221781271,"+",NA,17,-139.948483877986,321.845019704024,30.4750387974902,5.79907143800016e-08
"128",0.592458085022585,"+","+",0.0100474685155972,"+",-0.0158627661521339,"+","+",18,-139.097098961427,323.194197922854,31.8242170163202,2.95384791520093e-08
